t,theta1,theta_dot1,theta2,theta_dot2
17.6,0.06090083702543393,1.0335487725963737,-0.21233734326433346,1.0454533926727683
17.7,0.164499875661827,1.0375281915028822,-0.1068694855527152,1.0628078492577575
17.8,0.26822576030914125,1.0360795976204615,14965401190246419e-21,1.0738784950402238
17.9,0.3715303548442196,1.0290599843352808,0.10771249467550517,1.0791308508428734
18,0.4738396206920026,1.0160867047091313,0.2156562276202082,1.0788284579649257
18.1,0.57452723259302,0.996488234222442,0.3232945366300217,1.0730078778128131
18.2,0.6728833050616926,0.969259000367,0.43006666464444365,1.0614426762026758
18.3,0.7680799448525351,0.9330472272976154,0.5353739774115454,1.0435920832659584
18.4,0.8591390134869846,0.8862196234468108,0.6385455630259343,1.018541819331048
18.5,0.9449122162250121,0.8270499947778084,0.7387984824965995,0.9849621549792371
18.6,1.024087255791621,0.7540496799531364,0.8351965243508523,0.9411294266725175
18.7,1.0952320158624214,0.6663790220794578,0.9266168597213562,0.88507335575357
18.8,1.156877464876609,0.5641761951209165,1.0117400405456614,0.8149012116945218
18.9,1.2076207484904045,0.44860278443034596,1.0890808849204443,0.7292782429447997
19,1.2462144863845457,0.3215292035846913,1.1570693559000969,0.6279091643413308
19.1,1.2716122951015612,0.1850181463353618,1.2141686644662935,0.5117538823249805
19.2,1.2829656364775197,0.04092333328515929,1.2589924818074696,0.38278217689902977
19.3,1.2795983837440097,-0.10912220984751506,1.2903770137871087,0.2433589559604738
19.4,1.261004176258822,-0.2632439238665908,1.3073880863570568,0.0956335603131896
19.5,1.2269082895955938,-0.4185456405605432,1.3092846922190338,-0.05866609092546263
19.6,1.1774063705884474,-0.5704508264039916,1.2954913359927969,-0.21784367724814585
19.7,1.1131347652464314,-0.7128491909983162,1.265636359136759,-0.3793457671759147
19.8,1.0353636184793156,-0.83950299692061,1.2196878523695507,-0.538802995041284
19.9,0.9459068127695417,-0.9460862065454797,1.1581564601262773,-0.6898092332046518
20,0.8468615638242848,-1.0312990845162753,1.0822473579000877,-0.8252370657664492
20.1,0.740321829601573,-1.0963004133777363,0.9938113255720298,-0.9397236888079121
20.2,0.6282010585641558,-1.143311035523303,0.8950663533767722,-1.0314071773903186
20.3,0.5121850335728317,-1.1745445939494903,0.788250335691943,-1.1015215294173513
20.4,0.393756840894495,-1.1918260799769531,0.6753934484503629,-1.1526886667203056
20.5,0.2742346229878193,-1.196659359000772,0.5582570853411261,-1.18750001267315
20.6,0.154794228509,-1.1904145134011557,0.4383705343574283,-1.2079818499963857
20.7,0.03647624006512419,-1.1744322629467845,0.3170868655905871,-1.2156722405194782
20.8,-0.07981031165478424,-1.1499857831360156,0.1956185318158048,-1.211889127452834
20.9,-0.1932746637285781,-1.118138990932105,0.07504846888204192,-1.1979236191237554
21,-0.303214863458009,-1.079577448211106,-0.043669788628741255,-1.17506190951142
21.1,-0.40897269184486124,-1.0344720769475988,-0.1597062626628616,-1.1444599707559886
21.2,-0.5098777490768077,-0.9824002100981611,-0.27233224888831076,-1.1069554218964766
21.3,-0.6051866783008715,-0.9223276545334735,-0.38087956221346186,-1.0628969411215998
21.4,-0.6940239714366688,-0.852661848848104,-0.4846855048430672,-1.0120325674658357
21.5,-0.7753330277029062,-0.7714121982039196,-0.583029998677292,-0.9534647524094362
21.6,-0.8478511261112691,-0.6765192775614429,-0.675071676760137,-0.8856765143659316
21.7,-0.9101282654513021,-0.5664089776511677,-0.7597911771417327,-0.806656681961903
21.8,-0.9606122043221291,-0.4407448649665755,-0.8359543088363418,-0.7141849297075951
21.9,-0.9978109148859851,-0.3011717066692116,-0.902114827432364,-0.6063481443637261
22,-1.0205128517518078,-0.15165390505016996,-0.9566814050269553,-0.48230026403612697
22.1,-1.0280043895128286,0.001958922079581973,-0.9980672237843283,-0.34310773438086195
22.2,-1.0202035336922501,0.15312466455282525,-1.0249128007976884,-0.19228891305473927
22.3,-0.9976561778805576,0.2960513357443796,-1.0363276932943961,-0.03558969954889252
22.4,-0.9614041698828668,0.4267211384440791,-1.0320638004635485,0.12013440620582445
22.5,-0.9127887828856276,0.543141333056773,-1.0125485720351635,0.2684868206045074
22.6,-0.8532639641610024,0.6449522835122953,-0.9787704152327348,0.40479582422554605
22.7,-0.7842646817156586,0.7327861081145631,-0.9320760570856368,0.5265687220460866
22.8,-0.7071371489871906,0.8077101572669746,-0.8739636114843112,0.6331723195559101
22.9,-0.6231141036665243,0.8708886005739371,-0.8059296521981679,0.72515108956984
23,-0.5333136185390746,0.9234385751223253,-0.7293848654424265,0.8035892484740802
23.1,-0.43874601270221264,0.9663972816547829,-0.6456224567382916,0.8697058219539094
23.2,-0.3403218062589167,1.000723962983065,-0.5558151113600323,0.9246771570520105
23.3,-0.2388596337050185,1.0272947822324738,-0.4610220060187062,0.9695965679818777
23.4,-0.13509551047224996,1.046881310645174,-0.36219689154520657,1.005480700993251
23.5,-0.029694754073407652,1.060120966128858,-0.26019561460354973,1.033269119898943
23.6,0.07673318396319992,1.067489520713256,-0.15578474375189028,1.0538028162711508
23.7,0.18361739355969053,1.0692785103874112,-0.049653059526518606,1.0677907443983286
23.8,0.2904059809639227,1.0655724206714159,0.057573581587445674,1.075777609429767
23.9,0.39654388688220776,1.056217089968537,0.1653144968952659,1.0781184156758812
24,0.5014468480759433,1.0407737580193883,0.2730140762050124,1.074955506310114
24.1,0.6044701444308521,1.0184624104873707,0.3801191199790149,1.0661887326409616
24.2,0.7048718432810333,0.9881129913422105,0.4860525161898228,1.051431306947995
24.3,0.8017730479844912,0.9481623324443383,0.5901817852666845,1.0299526122443323
24.4,0.8941224009962295,0.8967524197388437,0.691781848681983,1.0006240871391663
24.5,0.9806778828019227,0.8319853280764091,0.7899939474524017,0.961904168252405
24.6,1.060022649349171,0.7523431589606818,0.8837872830040934,0.9119183072765991
24.7,1.130627449434055,0.6571700628450483,0.9719360273762503,0.848695112798042
